,,,
JO,"TUM, Geb. 4318, Hans Eisenmann-Zentrum (Zentralinstitut für Agrarwissenschaften)",Liesel-Beckmann-Straße 2,85354 Freising
JP,"TUM, Geb. 4264, Protein Modelling",Emil-Erlenmeyer-Forum 8,85354 Freising
JQ,"TUM, Geb. 4103, Sammlungsbau",Alte Akademie 6,85354 Freising
JR,"TUM Geb. 4222, Servicegebäude Freising",Vöttinger Str. 40,85354 Freising
JS,"TUM, Versuchsstation Kranzberger Forst",,"11°39’42”E, 48°25’12”N"
JT,"TUM, Geb. 4601-4620, Thalhausen",Ampertshausen 15,85402 Kranzberg
JU,"TUM, Geb. 4800, AMC Versuchshalle Achering (Mühlich)",Acheringer Hauptsraße 32a,85354 Achering-Freising
JV,"TUM, Geb. 4180-4192 ,Veitshof",Veitsmüllerweg 4-6,85354 Freising
JW,"TUM, Geb. 4205, Franzosenstadl",Vöttinger Str. 40,85354 Freising
JZ,"TUM, Tentomax Weihenstephan (Prüfungszelt)",Gregor-Mendel-Str.,Freising
K,Klinikum Rechts der Isar,,
K1,"TUM, Geb. 561 | Chirurgische Klinik",Ismaninger Str. 22,81675 München
K2,"TUM, Geb. 546",Ismaninger Str. 13,81675 München
K3,"TUM, Geb. zwischen 523 und 507",Trogerstraße 5,81675 München
K4,"TUM, 2 kleine Geb. zwischen 507 und 528",Trogerstraße 3,81675 München
K5,"TUM, Geb. 1514, Interdisziplinäres Forschungsgebäude",Trogerstraße 9,81675 München
K6,"TUM, Geb. 528, Ecke Troger- / Einsteinstraße",Trogerstraße 1,81675 München
K7,"TUM, Geb. neben Geb. 523",Trogerstraße 7,81675 München
K8,"TUM, Geb. 541",Trogerstraße 5b,81675 München
K9,"TUM, Geb. 713, Lehr und Trainingszentrum (LUTZ)",Nigerstraße 3,81675 München
KA,"TUM, Geb. 501, Hauptgebäude",Einsteinstraße 3,81675 München
KB,"TUM, Geb. 502",Ismaninger Str. 22,81675 München
KC,"TUM, Geb. 503",Ismaninger Str. 22,81675 München
KD,"TUM, Geb. 504",Ismaninger Str. 22,81675 München
KE,"TUM, Geb. 507",Trogerstraße 1b,81675 München
KF,"TUM, Geb. 518, Psychosomatische Ambulanz",Langerstraße 3,81675 München
KG,"TUM, Geb. 1523, IMSE Rechenzentrum (RZ)",Einsteinstraße 5,81675 München
KH,"TUM, Geb. 508",Ismaninger Str. 22,81675 München
KI,"TUM, Geb. 509",Trogerstraße 5b,81675 München
KJ,"TUM, Geb. 510",Ismaninger Str. 22,81675 München
KK,"TUM, Geb. 511",Ismaninger Str. 8,81675 München
KL,"TUM, Geb. 562",Ismaninger Str. 22,81675 München
KM,"TUM, Geb. 1536, Geschichte und Ethik der Medizin",Trogerstr. 14,81675 München
KN,"TUM, Geb. 514",Trogerstraße 7,81675 München
KO,"TUM, Geb. 716",Neherstraße,81675 München
KP,"TUM, Geb. 516",Ismaninger Str. 22,81675 München
KQ,"TUM, Geb. 560",Ismaninger Str. 22,81675 München
KR,"TUM, Geb. 512",Trogerstraße 7,81675 München
KS,"TUM, Trogerstraße 5",Trogerstraße 5,81675 München
KT,"TUM, Geb. 2522, TranslaTUM",Einsteinstraße 25,81675 München
KU,"TUM, Geb. 506",Ismaninger Str. 22,81675 München
KV,"TUM, Geb. 520",Ismaninger Str. 22,81675 München
KW,"TUM, Geb. 551, Hörsaalgebäude",Einsteinstraße 3,81675 München
KX,"TUM, Geb. 552",Einsteinstraße 5,81675 München
KY,"TUM, Geb. 557",Trogerstraße 5,81675 München
KZ,"TUM; Geb. 522, TranslaTUM",Einsteinstraße 25,81675 München
L,Leopoldstraße vom Siegestor bis Münchner Freiheit mit Seitenstraßen,,
L1,"KHG, Studentencafe der Katholischen Hochschulgemeinde",Leopoldstraße 11,80802 München
L3,"LMU, Geb. 0601",Leopoldstr. 13,80802 München
LA,"LMU, Geb. 0602",Leopoldstr. 13,80802 München
LB,"LMU, Geb. 0603",Leopoldstr. 13,80802 München
LC,"LMU, Leopoldstraße 11, 11a, 11b","Leopoldstraße 11, 11a, 11b",80802 München
LD,"LMU, Center of Advanced Studies CAS",Franz-Joseph-Str. 15,80801 München
LE,"LMU, Georgenstr. 11",Georgenstr. 11,80799 München
LF,Studentinnenheim Sophie-Barat-Haus,Franz-Joseph-Str. 4,80801 München
LG,"LMU, Georgenstr. 5",Georgenstr. 5,80799 München
LH,"LMU, Seniorenstudium",Hohenstaufenstraße 1,80801 München
LI,frei,,
LJ,"ABZ, Ausbildungszentrum für Pastoralreferenten",Franz-Joseph-Str. 6,80801 München
LK,"LMU, Georgenstr. 7",Georgenstr. 7,80799 München
LL,"LMU, Soziologie",Konradstr. 6,80801 München
LM,"Mensa, Leopoldstr.",Leopoldstr. 13a,80802 München
LN,"LMU, Leopoldstraße 44",Leopoldstraße 44,80802 München
LO,LMU Leopoldstr. 30,Leopoldstr. 30,80802 München
LP,Priesterseminar St. Johannes der Täufer,Georgenstr. 14,80799 München
LQ,Studentenwohnheim Deutsche Burse e.V.,Friedrichstraße 34,80801 München
LS,"LMU, Geb. 0610",Leopoldstr. 15,80802 München
LT,"LMU, Geb. 0620",Leopoldstr. 5,80802 München
LV,"LMU, Geb. 0600",Leopoldstr. 3,80802 München
LW,HMTM Musikhochschule Außenstelle Ballett-Akademie,Wilhelmstr. 17-19,80801 München
LZ,Staatsbibliothek,Leopoldstraße 240,80807 München
M,Garchinger Hochschulgelände 3,,
M1,"TUM, Geb. 5901, Fakultät Elektro- und Informationstechnik BA1",Hans-Piloty-Straße 1,85748 Garching
M2,Siemens Technology Center Garching,Friedrich-Ludwig-Bauer-Str.,85748 Garching
M3,"TUM, Geb. 5305, Naturwissenschaftliche Didaktik und Bauchchemie (NDB)",Lichtenbergstraße,85748 Garching
M6,"TUM, Geb. 5143, Ver- und Entsorgungsstation Physik",Paula-Hahn-Weinheimer-Str. 2,85748 Garching
M7,"TUM, Garching, Geb. 5142, Parkhaus 7, P7",Am Coulombwall 6,Garching
