LMU, Block ATheresienstr. 3780333 München;A408;apa11-4da;Online seit 2022-02-06 20:43;Alcatel-Lucent -> OAW-AP303h;Gesamt:     (004 - 2 - 2 - 2.51)eduroam:    (003 - 1 - 1 - 1.51)lrz:  (000 - 0 - 0 - 0.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5403, Chemiegebäude Bau Ch3Lichtenbergstraße 485748 Garching;23209, Chemielabor;apa07-2ad;Online seit 2022-03-02 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (012 - 3 - 3 - 6.54)eduroam:    (008 - 1 - 1 - 4.34)lrz:  (002 - 1 - 1 - 1.08)@BayernWLAN: (002 - 1 - 1 - 1.11)
LMU, Geologische und Geographische InstituteLuisenstr. 3780333 München;C 226;apa08-2fg;Online seit 2022-02-12 01:38;Aruba -> AP-303H;Gesamt:     (009 - 3 - 3 - 4.15)eduroam:    (005 - 1 - 1 - 2.05)lrz:  (003 - 1 - 1 - 1.10)@BayernWLAN: (001 - 1 - 1 - 1.00)
TUM, Geb. 0501 (Stammgelände)Arcisstraße 2180333 München;3170b;apa06-3bb;Online seit 2022-02-12 01:43;Alcatel-Lucent -> OAW-AP325;Gesamt:     (006 - 2 - 2 - 2.45)eduroam:    (005 - 1 - 1 - 1.45)lrz:  (000 - 0 - 0 - 0.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, Block BTheresienstr. 3980333 München;B413;apa11-4db;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (005 - 2 - 2 - 2.69)eduroam:    (004 - 1 - 1 - 1.69)lrz:  (000 - 0 - 0 - 0.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (001 - 1 - 1 - 1.00)Sonstige:  (000 - 0 - 0 - 0.00)
Wohnheim LudwigskollegGuerickestr. 1980805 München;B.301.T;apa01-3y1;Online seit 2022-01-18 08:28;Aruba -> AP-515;Gesamt:     (011 - 3 - 2 - 3.59)eduroam:    (009 - 2 - 1 - 2.58)lrz:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.01)
HM, Gebäude K, AltbauAm Stadtpark 2081243 München;K U.109;apa06-krk;Online seit 2022-02-12 01:43;Aruba -> AP-303H;Gesamt:     (015 - 3 - 3 - 5.25)eduroam:    (003 - 1 - 1 - 1.53)lrz:  (004 - 1 - 1 - 1.49)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (008 - 1 - 1 - 2.24)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 0503 (Stammgelände)Arcisstraße 2180333 München;2331, 3. Bauabschnitt bis ca. Ende Aug. 2019;apa17-2bd;Online seit 2022-03-17 01:38;Aruba -> AP-303H;Gesamt:     (012 - 3 - 3 - 6.77)eduroam:    (010 - 1 - 1 - 4.77)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (001 - 1 - 1 - 1.00)
IBZ, Amalienstraße 38Amalienstr. 3880799 München;Seminarraum 2;apa01-kg2;Online seit 2022-01-15 01:38;Alcatel-Lucent -> OAW-AP303h;Gesamt:     (006 - 3 - 3 - 3.87)eduroam:    (002 - 1 - 1 - 1.14)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.73)Sonstige:  (000 - 0 - 0 - 0.00)
LRZ, InstitutstraktBoltzmannstraße 185748 Garching;Unbekannter Standort;apa60-2wl;Online seit 2022-01-26 15:33;Aruba -> AP-635;Gesamt:     (004 - 3 - 3 - 3.20)eduroam:    (000 - 0 - 0 - 0.00)mwn-events:  (001 - 1 - 1 - 1.00)@BayernWLAN: (002 - 1 - 1 - 1.20)Sonstige:  (001 - 1 - 1 - 1.00)
