Unterbezirkskürzel,Link,Name,Strasse,Ort
XL,/apstat/filter/Unterbezirk/xl,HMTM Interimsquartier,Hans-Preißinger-Straße 8,81379 München
XM,/apstat/filter/Unterbezirk/xm,"TUM, Geb. 9101, Geriatronik-Forschungszentrum",Bahnhofstr. 37,82467 Garmisch-Partenkirchen
XN,/apstat/filter/Unterbezirk/xn,"LMU, Geophysik Außenstelle Unterlippach",Unterlippach 1,84095 Furth
XO,/apstat/filter/Unterbezirk/xo,"SMSB, Porzellanikon, Staatl. Museum für Porzellan, Hohenberg",Schirndinger Str. 48,95691 Hohenberg an der Eger
XP,/apstat/filter/Unterbezirk/xp,"LMU, Planegg",Fraunhoferstraße 12,Planegg
XQ,/apstat/filter/Unterbezirk/xq,"SMSB, Porzellanikon, Staatliches Museum für Porzellan, Selb",Werner-Schürer-Platz 1,95100 Selb
XR,/apstat/filter/Unterbezirk/xr,"LMU, Edmund-Rumpler-Str. 13",Edmund-Rumpler-Str. 13,80939 München
XS,/apstat/filter/Unterbezirk/xs,"TUM/LMU, Schneefernerhaus Zugspitze",Zugspitze 5,82475 Schneefernerhaus
XT,/apstat/filter/Unterbezirk/xt,Test Unterbezirk,,
XU,/apstat/filter/Unterbezirk/xu,Wohnheim Oskar-von-Miller-Forum (Haus der Bay. Bauwirtschaft),"Amalienstr. 13, Oskar-von-Miller-Ring 25",80333 München
XV,/apstat/filter/Unterbezirk/xv,Studentenwohnheim Unity Alpha/Beta,Josef-Wirth-Weg 21 / Freisinger Landstr. 86-90,80939 München
XW,/apstat/filter/Unterbezirk/xw,MPI für Psychiatrie,Kraepelinstr. 10,80804 München
XX,/apstat/filter/Unterbezirk/xx,"Ort unbekannt, bzw. LRZ ist nicht zuständig",None,None
XY,/apstat/filter/Unterbezirk/xy,Heimarbeitsplätze der LRZ-Mitarbeiter,None,None
XZ,/apstat/filter/Unterbezirk/xz,M-net Vermittlungsstelle,Brienner Str. 18,80333 München
Y,/apstat/filter/Unterbezirk/y,Kleinere Unterbezirke 2,,
Y0,/apstat/filter/Unterbezirk/y0,Studentinnenheim Arme Schulschwestern Unterer Anger 17,Unterer Anger 17,80331 München
Y1,/apstat/filter/Unterbezirk/y1,Wohnheim Ludwigskolleg,Guerickestr. 19,80805 München
Y2,/apstat/filter/Unterbezirk/y2,"SMSB, Staatliches Textil- und Industriemuseum (TIM)",Provinostraße 46,86153 Augsburg
Y3,/apstat/filter/Unterbezirk/y3,"SMSB, Sammlung Goetz",Oberföhringer Str. 107,81925 München
Y4,/apstat/filter/Unterbezirk/y4,"IFP, Staatsinstitut für Frühpädagogik",Köferinger Straße 1,92224 Amberg
Y5,/apstat/filter/Unterbezirk/y5,"SMSB, Museum für Franken",Festung Marienberg,97082 Würzburg
Y6,/apstat/filter/Unterbezirk/y6,"SMSB, Glasmuseum Frauenau",Am Museumpark 1,94258 Frauenau
Y7,/apstat/filter/Unterbezirk/y7,Wohnheim Schwere-Reiter-Straße,Schwere-Reiter-Str. 35,80797 München
Y8,/apstat/filter/Unterbezirk/y8,St-Albertus-Magnus-Haus,Avenariusstr. 15,81243 München
Y9,/apstat/filter/Unterbezirk/y9,Studentinnenheim Arme Schulschwestern Unterer Anger 2,Unterer Anger 2,80331 München
YA,/apstat/filter/Unterbezirk/ya,LMU Geisteswissenschaften,Schellingstr. 33,80799 München
YB,/apstat/filter/Unterbezirk/yb,"LMU, Geb. 3102 / 3103, Botanik",Menzinger Str. 67,80638 München
YC,/apstat/filter/Unterbezirk/yc,"TUM, Geb. 0602 / 0603, Klinikum Biederstein",Biedersteiner Straße 29,80802 München
YD,/apstat/filter/Unterbezirk/yd,John-Mott-Haus,Theo-Prosel-Weg 16,80797 München
YE,/apstat/filter/Unterbezirk/ye,BSB-Archiv Neufahrn,Ludwig-Erhard-Str. 2,85375 Neufahrn bei Freising
YF,/apstat/filter/Unterbezirk/yf,BSB Landesfachstelle  für das öffentliche Bibliothekswesen Außenstelle Würzburg,Ludwigkai 4,97072 Würzburg
YG,/apstat/filter/Unterbezirk/yg,"AFK, Rosenheimer Str. 145",Rosenheimer Str. 145,München
YH,/apstat/filter/Unterbezirk/yh,Helmholtz Zentrum München,Ingolstädter Landstraße 1,85764 Neuherberg
YI,/apstat/filter/Unterbezirk/yi,Nutzwasser Pavillon Schweinfurt,Schulgasse 13,97424 Schweinfurt
YJ,/apstat/filter/Unterbezirk/yj,"ADBK, Akademie der Bildenden Künste",Akademiestr. 2,80799 München
YK,/apstat/filter/Unterbezirk/yk,"BIOTOPIA, Maria-Ward-Str.1a",Maria-Ward-Str.1a,80638 München
YM,/apstat/filter/Unterbezirk/ym,Stiftung für Arbeitsrecht (ZAAR),Destouchesstr. 68,München
YN,/apstat/filter/Unterbezirk/yn,"TUM, Klinikum Schwabing",Kölner Platz 1,80804 München
YO,/apstat/filter/Unterbezirk/yo,"TUM, Geb.3101-3121, Versuchsanstalt für Wasserbau Obernach",Obernach 15,82432 Walchensee (Obernach)
YP,/apstat/filter/Unterbezirk/yp,ISB und  IFP,Schellingstr. 155,80797 München
YQ,/apstat/filter/Unterbezirk/yq,"TUM, Geb. 2401+2402, Winzererstr. 45",Winzererstr. 45,80797 München
YR,/apstat/filter/Unterbezirk/yr,"TUM, Geb. 2805, Bauklimatik und Haustechnik",Karl Benz Straße 15,85221 Dachau
YS,/apstat/filter/Unterbezirk/ys,"LMU, Ludwigshöhe 8",Ludwigshöhe 8,82256 Fürstenfeldbruck
YT,/apstat/filter/Unterbezirk/yt,Wohnheim Biedersteiner Straße,Biedersteinerstr. 24 - 30a,80802 München
YU,/apstat/filter/Unterbezirk/yu,"TUM/LMU, Geb.2804, Deutsches Museum",Museumsinsel 1,80538 München
YV,/apstat/filter/Unterbezirk/yv,Spanisches Kolleg,Dachauerstr. 145,80335 München
YW,/apstat/filter/Unterbezirk/yw,"LMU, CAP",Maria-Theresia-Str. 21,81675 München
YX,/apstat/filter/Unterbezirk/yx,"TUM, Ingolstadt, ini.tum",Marie-Curie-Str. 8,85055 Ingolstadt
YY,/apstat/filter/Unterbezirk/yy,MPG Physik,Föhringer Ring 6,80805 München
YZ,/apstat/filter/Unterbezirk/yz,DLR Oberpfaffenhofen,Münchener Str. 20,82234 Weßling
Z,/apstat/filter/Unterbezirk/z,Kleinere Unterbezirke 3,,
Z0,/apstat/filter/Unterbezirk/z0,Wohnheim Chiemgaustraße,Traunsteiner Str. 1 - 13,81549 München
Z1,/apstat/filter/Unterbezirk/z1,"Studentenstadt Freimann, SWH",Christoph-Probst-Str. 10,80805 München
Z2,/apstat/filter/Unterbezirk/z2,"TUM, Geb. 4401-4405, Limnologische Station, Iffeldorf",Hofmark 3,82393 Iffeldorf
Z3,/apstat/filter/Unterbezirk/z3,Studentenwohnheim Lothstr. 62,Lothstr. 62,80335 München
Z4,/apstat/filter/Unterbezirk/z4,Wohnheim Kreittmayrstr. 14,Kreittmayrstr. 14,80335 München
Z5,/apstat/filter/Unterbezirk/z5,"Wohnheim Agnes-/Adelheidstraße und Internationales Haus, DKFA","Adelheidstr. 13, 17 Agnesstraße 27-35",80798 München
Z6,/apstat/filter/Unterbezirk/z6,Studentenwohnheim Haidpark,Admiralbogen 37-47,80939 München
Z7,/apstat/filter/Unterbezirk/z7,"Studentenwohnheim Felsennelkenanger (FNA, Panzerwiese)",Felsennelkenanger 7-21,80937 München
Z8,/apstat/filter/Unterbezirk/z8,SWH Max-Bill-Straße,Max-Bill-Straße 67,80807 München
Z9,/apstat/filter/Unterbezirk/z9,Studienkolleg bei den Universitäten des Freistaates Bayern,Infanteriestraße 7a,80797 München
ZA,/apstat/filter/Unterbezirk/za,Stiftung Maximilianeum,Max-Planck-Str. 1,81675 München
ZB,/apstat/filter/Unterbezirk/zb,"TUM, Geb. 2907, Marsstr. 20-22",Marsstr. 20-22,80335 München
ZC,/apstat/filter/Unterbezirk/zc,"TUM, Geb. 2410, Roboterwissenschaften und Systemintelligenz",Heßstraße 134,80797 München
ZD,/apstat/filter/Unterbezirk/zd,Wohnheim Türkenstraße,Türkenstr. 58,80799 München
ZE,/apstat/filter/Unterbezirk/ze,Massmannwohnheim,Heßstr. 77,80797 München
ZG,/apstat/filter/Unterbezirk/zg,Wohnheim Heidemannstraße,Paul-Hindemith-Allee 4 und 6 Karl-Köglsperger-Straße 3 - 9,80939 München
ZH,/apstat/filter/Unterbezirk/zh,"DHM, Deutsches Herzzentrum",Lothstr. 11,80335 München
ZI,/apstat/filter/Unterbezirk/zi,FREI (früher IHF),Prinzregentenstr. 24,80538 München
ZJ,/apstat/filter/Unterbezirk/zj,"LMU, Sternwarte",Scheinerstraße 1,81679 München
ZK,/apstat/filter/Unterbezirk/zk,KSFH / SWH Johann-Michael-Sailer-Haus,Preysingstr. 93a,81667 München
ZL,/apstat/filter/Unterbezirk/zl,"LMU, Observatorium Wendelstein",Wendelstein,83735 Bayrischzell
ZM,/apstat/filter/Unterbezirk/zm,"TUM, Geb. 2601-2607, Pasing",Baumbachstr. 7,81245 München
ZN,/apstat/filter/Unterbezirk/zn,frei,,
ZO,/apstat/filter/Unterbezirk/zo,Hugo-Maser-Haus (Arcisheim),Arcisstr. 31,80799 München
ZP,/apstat/filter/Unterbezirk/zp,Bayerische Theaterakademie August Everding im Prinzregententheater,Prinzregentenplatz 12,81675 München
ZQ,/apstat/filter/Unterbezirk/zq,"TUM, Geb. 2908 Marsstr. 40; Denisstr. 1b, Geb. 2909",Marsstr. 40,80335 München
ZR,/apstat/filter/Unterbezirk/zr,"TUM, Geb. 2926, Betriebswirtschaftslehre",Leopoldstr. 139-145,80804 München
ZS,/apstat/filter/Unterbezirk/zs,"TUM, Geb. 3201, Geodäsie, Außenstelle Eichenau",Lindenweg 15,82223 Eichenau
ZT,/apstat/filter/Unterbezirk/zt,"LMU, Zentnerstr. 31",Zentnerstr. 31,80798 München
ZU,/apstat/filter/Unterbezirk/zu,Wohnheim Stiftsbogen,Schröfelhofstr. 4-26a,81375 München
ZV,/apstat/filter/Unterbezirk/zv,"Oekumenisches Studentenwohnheim, Oek-Heim",Steinickeweg 4,80798 München
ZW,/apstat/filter/Unterbezirk/zw,"TUM, Geb. 2806,  Lst. Restaurierung, Nationalmuseum, Archäologische Staatssammlung",Oettingenstr. 15,80538 München
ZX,/apstat/filter/Unterbezirk/zx,Telekom Vermittlungsstelle,Blutenburgstraße 1a,80636 München
ZY,/apstat/filter/Unterbezirk/zy,"TUM, Geb. 2103-2109, Verbrennungskraftmaschinen",Schragenhofstr. 31,80992 München
ZZ,/apstat/filter/Unterbezirk/zz,"SNSB, ZSM, Zoologische Staatssammlung",Münchhausenstr. 21,81247 München
