Unterbezirkskürzel,Link,Name,Strasse,Ort
UJ,/apstat/filter/Unterbezirk/uj,Stadtbibliothek im Salzstadel,Rentamtsberg 1,94315 Straubing
V,/apstat/filter/Unterbezirk/v,"LMU, Oberschleißheim",,
VA,/apstat/filter/Unterbezirk/va,"LMU, Tiermedizin, Klinik für Pferde",Sonnenstraße 14,85764 Oberschleißheim
VB,/apstat/filter/Unterbezirk/vb,"LMU, VetMed, Bibliothek",Sonnenstraße 20,85764 Oberschleißheim
VC,/apstat/filter/Unterbezirk/vc,"LMU Oberschleißheim Container , Geb. 4924",Schönleutnerstr. 8,85764 Oberschleißheim
VD,/apstat/filter/Unterbezirk/vd,"LMU, VetMed, Department 1",Sonnenstraße 22,85764 Oberschleißheim
VE,/apstat/filter/Unterbezirk/ve,"LMU, VetMed, Anatomie/Pathologie",Sonnenstraße 30,85764 Oberschleißheim
VH,/apstat/filter/Unterbezirk/vh,"LMU, Versuchsgut St. Hubertus",St.-Hubertus-Str. 12,85764 Oberschleißheim
VI,/apstat/filter/Unterbezirk/vi,"LMU, Institut für Infektionsmedizin und Zoonosen (Mikrobiologie I)",Sonnenstraße 24,85764 Oberschleißheim
VJ,/apstat/filter/Unterbezirk/vj,"LMU, Instituts für Infektionsmedizin und Zoonosen (Mikrobiologie II)",Sonnenstraße 26,85764 Oberschleißheim
VK,/apstat/filter/Unterbezirk/vk,"LMU, VetMed, Kleintierklinik",Sonnenstraße 12,85764 Oberschleißheim
VM,/apstat/filter/Unterbezirk/vm,"LMU, Moorversuchsgut Badersfeld",Hackerstr. 27,85764 Oberschleißheim
VP,/apstat/filter/Unterbezirk/vp,"LMU, Reptilienklinik Oberscheißheim, Geb. 4052",Sonnenstraße 18,85764 Oberschleißheim
VR,/apstat/filter/Unterbezirk/vr,"LMU, Klauentierklinik, Geb. 4070",Sonnenstraße 16,85764 Oberschleißheim
VS,/apstat/filter/Unterbezirk/vs,"LMU, Schleicherbau, Geb. 4925",Schönleutnerstr. 8,85764 Oberschleißheim
VV,/apstat/filter/Unterbezirk/vv,"LMU, Geflügelkrankheiten (Vogelklinik), Geb. 4050",Sonnenstraße 18,85764 Oberschleißheim
VW,/apstat/filter/Unterbezirk/vw,Wohnheim Oberschleißheim,Am Schäferanger 9-15,85764 Oberschleißheim
VY,/apstat/filter/Unterbezirk/vy,"LMU, VetMed, Zentrale Einrichtungen 2",Sonnenstraße 28,85764 Oberschleißheim
VZ,/apstat/filter/Unterbezirk/vz,"LMU, Tiermedizin, Geb. 4057D, Zentrale Einrichtungen",Sonnenstraße 16A,85764 Oberschleißheim
W,/apstat/filter/Unterbezirk/w,Garchinger Hochschulgelände 2,,
W0,/apstat/filter/Unterbezirk/w0,"TUM, Geb. 5500 (Bauteil 0 ~5510), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W1,/apstat/filter/Unterbezirk/w1,"TUM, Geb. 5500 (Bauteil 1 ~5501), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W2,/apstat/filter/Unterbezirk/w2,"TUM, Geb. 5500 (Bauteil 2 ~5502), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W3,/apstat/filter/Unterbezirk/w3,"TUM, Geb. 5500 (Bauteil 3 ~5503), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W4,/apstat/filter/Unterbezirk/w4,"TUM, Geb. 5500 (Bauteil 4 ~5504), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W5,/apstat/filter/Unterbezirk/w5,"TUM, Geb. 5500 (Bauteil 5 ~5505), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W6,/apstat/filter/Unterbezirk/w6,"TUM, Geb. 5500 (Bauteil 6 ~5506), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W7,/apstat/filter/Unterbezirk/w7,"TUM, Geb. 5500 (Bauteil 7 ~5507), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W8,/apstat/filter/Unterbezirk/w8,"TUM, Geb. 5500 (Bauteil 8 ~5508), Maschinenwesen",Boltzmannstraße 15,85748 Garching
W9,/apstat/filter/Unterbezirk/w9,"TUM, Geb. 5500 (Bauteil 9 ~5509), Maschinenwesen",Boltzmannstraße 15,85748 Garching
WA,/apstat/filter/Unterbezirk/wa,"TUM, Geb. 5222, FRM II, Zugangshalle",Lichtenbergstr. 1,85747 Garching
WB,/apstat/filter/Unterbezirk/wb,"TUM, Geb. 5220, FRM II, Neutronenleiterhalle",Lichtenbergstr. 1,85747 Garching
WC,/apstat/filter/Unterbezirk/wc,"LRZ, Institutsgebäude 2",Boltzmannstraße 1,85748 Garching
